Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,449
design__inferred_latch__count,0
design__instance__count,20972
design__instance__area,101595
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,44
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0019218433881178498
power__switching__total,0.0006024714093655348
power__leakage__total,1.1249510123434447E-7
power__total,0.0025244273710995913
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.14442457361050867
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.13791849996874722
timing__hold__ws__corner:nom_tt_025C_1v80,0.4828122482916165
timing__setup__ws__corner:nom_tt_025C_1v80,11.263922557945039
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.482812
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.924748
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,44
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.16931277692432464
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.15619538049509066
timing__hold__ws__corner:nom_ss_100C_1v60,1.077936104220635
timing__setup__ws__corner:nom_ss_100C_1v60,3.227386449438943
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.077936
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.41235
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,44
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.13189581744557882
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.12858235673487395
timing__hold__ws__corner:nom_ff_n40C_1v95,0.27049613314860704
timing__setup__ws__corner:nom_ff_n40C_1v95,14.354133399295385
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.270496
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.286585
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,44
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.1268916535540072
clock__skew__worst_setup,0.12552813310775082
timing__hold__ws,0.2669663454754358
timing__setup__ws,2.8062672979691023
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.266966
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.950044
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 330.645 341.365
design__core__bbox,5.52 10.88 324.76 329.12
design__io,100
design__die__area,112871
design__core__area,101595
design__instance__count__stdcell,5512
design__instance__area__stdcell,48804.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.480381
design__instance__utilization__stdcell,0.480381
design__rows,117
design__rows:unithd,117
design__sites,81198
design__sites:unithd,81198
design__instance__count__class:buffer,3
design__instance__area__class:buffer,12.512
design__instance__count__class:inverter,479
design__instance__area__class:inverter,1810.49
design__instance__count__class:sequential_cell,720
design__instance__area__class:sequential_cell,17456.7
design__instance__count__class:multi_input_combinational_cell,1767
design__instance__area__class:multi_input_combinational_cell,17111.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,15460
design__instance__area__class:fill_cell,52790.6
design__instance__count__class:tap_cell,1428
design__instance__area__class:tap_cell,1786.71
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1010
design__instance__area__class:timing_repair_buffer,8767.16
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3308.6
design__instance__displacement__mean,0.577
design__instance__displacement__max,15.302
route__wirelength__estimated,131714
design__violations,0
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,78
design__instance__area__class:clock_buffer,1670.35
design__instance__count__class:clock_inverter,15
design__instance__area__class:clock_inverter,158.902
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,639
global_route__vias,71
global_route__wirelength,216273
flow__warnings__count:GRT-0041,128
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,12
design__instance__area__class:antenna_cell,30.0288
route__net,4035
route__net__special,2
route__drc_errors__iter:0,168
route__wirelength__iter:0,154667
route__drc_errors__iter:1,49
route__wirelength__iter:1,154624
route__drc_errors__iter:2,61
route__wirelength__iter:2,154619
route__drc_errors__iter:3,0
route__wirelength__iter:3,154599
route__drc_errors__iter:4,3
route__wirelength__iter:4,154579
route__drc_errors__iter:5,3
route__wirelength__iter:5,154579
route__drc_errors__iter:6,0
route__wirelength__iter:6,154590
route__drc_errors,0
route__wirelength,154599
route__vias,29638
route__vias__singlecut,29638
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,505.26
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
