net,length_um
net396,536.27µm
net391,490.77µm
clknet_0_clk,489.29µm
net442,474.53µm
net500,431.25µm
net498,411.78µm
net499,411.27µm
_2542_,405.24µm
net316,383.06µm
net263,376.82µm
net513,366.08µm
net522,360.62µm
net483,358.9µm
net450,349.5µm
_1263_,345.33µm
net311,343.99µm
net497,340.34µm
net445,338.78µm
net387,336.64µm
net357,335.655µm
net490,334.98µm
net393,334.66µm
_2882_,331.69µm
clk,330.76µm
net386,330.52µm
net381,325.675µm
net538,315.54µm
net511,311.13µm
net340,311.01µm
net469,309.62µm
net520,308.85µm
net388,306.8µm
net426,306.4µm
net338,301.62µm
net305,300.7µm
net464,299.58µm
net448,297.67µm
_1288_,297.44µm
net495,297.06µm
net375,296.885µm
_1283_,295.33µm
_1464_,294.725µm
net110,293.1µm
net367,292.715µm
net480,289.91µm
net540,287.92µm
net474,287.8µm
net433,287.465µm
net479,285.33µm
net44,284.14µm
net485,284.09µm
net403,283.005µm
net446,281.805µm
net494,280.37µm
net465,278.71µm
net435,278.38µm
_1486_,278.18µm
net481,277.55µm
clknet_3_4__leaf_clk,277.52µm
_1293_,276.73µm
clknet_3_1__leaf_clk,275.66µm
net471,275.25µm
net496,274.74µm
net468,273.16µm
clknet_3_0__leaf_clk,272.1µm
net50,271.63µm
_2333_,270.73µm
_1490_,269.58µm
_2830_,269.27µm
net349,268.015µm
net467,266.48µm
net299,264.35µm
net466,262.97µm
net315,260.17µm
net253,259.63µm
_2632_,258.26µm
net519,257.68µm
net447,257.18µm
_2580_,257.14µm
net298,256.275µm
_1557_,254.76µm
net309,254.5µm
net414,253.725µm
_1550_,252.74µm
net74,252.58µm
net350,251.965µm
_2862_,251.44µm
net521,251.44µm
net361,251.28µm
RF.registers\[12\]\[16\],249.92µm
net355,249.185µm
net576,246.68µm
net56,243.88µm
net472,243.23µm
_1312_,242.75µm
_2917_,242.23µm
net512,241.18µm
_1331_,239.02µm
net552,238.92µm
_1562_,238.44µm
net312,238.04µm
clknet_leaf_4_clk,237.42µm
net330,237.14µm
net301,236.18µm
net336,235.795µm
net477,235.61µm
_2923_,235.06µm
net439,234.36µm
net478,233.2µm
RF.registers\[12\]\[22\],231.165µm
_1578_,230.56µm
net308,230.54µm
net360,228.48µm
net383,227.575µm
net553,227.5µm
_1382_,227.21µm
net523,226.84µm
net75,225.6µm
net542,224.88µm
clknet_3_6__leaf_clk,224.36µm
net385,224.24µm
net397,222.8µm
net51,222.38µm
net332,222.035µm
net320,221.905µm
net430,221.675µm
net366,221.35µm
net331,221.34µm
net364,221.25µm
net49,220.3µm
net489,219.98µm
net24,219.95µm
net486,219.42µm
net389,219.1µm
net36,218.79µm
net432,217.045µm
net40,217.03µm
net302,217.025µm
net550,216.84µm
net265,216.535µm
net531,216.48µm
net342,216.39µm
next_pc\[12\],216.14µm
net551,215.82µm
net541,214.92µm
net303,214.01µm
net543,213.96µm
net333,213.005µm
_2466_,212.68µm
net317,212.28µm
net30,212.24µm
clknet_3_5__leaf_clk,211.68µm
_3128_,211.4µm
net449,210.73µm
_2371_,210.24µm
net37,210.2µm
_2582_,209.78µm
_2157_,209.26µm
net418,209.065µm
_1637_,208.915µm
RF.registers\[12\]\[25\],208.74µm
net476,208.7µm
net380,208.2µm
clknet_3_7__leaf_clk,207.22µm
net535,207.16µm
net431,206.8µm
net334,206.76µm
net394,204.66µm
_2859_,204.57µm
net345,203.54µm
_1656_,202.29µm
net444,201.9µm
net438,201.82µm
_1341_,201.65µm
net536,201.155µm
RF.registers\[12\]\[18\],200.72µm
RF.registers\[12\]\[23\],200.59µm
net335,198.96µm
RF.registers\[12\]\[17\],197.94µm
net423,197.94µm
net358,197.65µm
_2985_,197.62µm
net420,196.44µm
net571,195.37µm
_2855_,194.2µm
_2841_,193.43µm
_1319_,192.7µm
net537,190.08µm
net371,189.585µm
net470,189.24µm
_2852_,188.6µm
clknet_leaf_5_clk,188.24µm
net304,188.07µm
net63,187.86µm
_1473_,187.42µm
net378,187.42µm
net524,186.86µm
clknet_leaf_2_clk,186.7µm
net411,186.645µm
net417,186.58µm
clknet_leaf_0_clk,185.68µm
net534,185.67µm
_1320_,185.4µm
_1466_,184.84µm
net346,184.68µm
RF.registers\[12\]\[20\],184.625µm
net57,184.5µm
_1345_,184.06µm
_3120_,183.88µm
next_pc\[7\],183.88µm
net351,183.415µm
net347,182.95µm
net545,182.38µm
_1887_,181.9µm
RF.registers\[12\]\[19\],181.79µm
net344,181.6µm
reset,181.09µm
net532,180.96µm
_2335_,180.86µm
net23,180.74µm
net412,180.68µm
net354,180.22µm
clknet_3_2__leaf_clk,180µm
clknet_leaf_39_clk,179.06µm
clknet_leaf_11_clk,178.815µm
_1463_,177.61µm
net575,177.44µm
net398,177.16µm
_1455_,177.12µm
net339,177.06µm
clknet_leaf_1_clk,176.54µm
net453,176.46µm
net437,176.015µm
_1934_,175.91µm
net555,175.81µm
net370,174.83µm
_1920_,174.73µm
net384,174.56µm
clknet_leaf_40_clk,174.015µm
_1927_,173.22µm
net410,172.585µm
net59,172.5µm
RF.registers\[8\]\[6\],171.58µm
_1459_,171.4µm
net18,171.2µm
net376,170.72µm
_1941_,170.6µm
net530,169.78µm
net325,169.62µm
net34,169.49µm
net307,168.93µm
clknet_leaf_8_clk,168.49µm
net529,167.56µm
clknet_leaf_41_clk,167.335µm
net17,167.2µm
net401,167.115µm
net406,167.07µm
net395,167.06µm
_1912_,166.88µm
clknet_leaf_30_clk,166.84µm
net61,166.63µm
_1323_,166.145µm
net546,166.05µm
_2762_,165.62µm
_1281_,165.26µm
RF.registers\[10\]\[28\],165.1µm
_1603_,164.44µm
net55,164.4µm
net288,164.26µm
net373,164.14µm
net506,163.47µm
clknet_leaf_15_clk,162.99µm
clknet_leaf_36_clk,162.4µm
net326,162.22µm
net19,161.76µm
_1554_,161.695µm
clknet_leaf_7_clk,160.375µm
net318,160.155µm
net525,160.02µm
_2465_,159.94µm
net491,158.46µm
_1658_,158.02µm
_2850_,157.4µm
_2306_,156.96µm
_1904_,156.5µm
net313,156.43µm
_1409_,156.24µm
_2524_,156.24µm
clknet_leaf_22_clk,156.18µm
clknet_leaf_38_clk,155.58µm
clknet_leaf_42_clk,155.46µm
clknet_leaf_43_clk,155.1µm
clknet_leaf_20_clk,155.08µm
_1651_,154.71µm
net544,154.44µm
net314,153.8µm
RF.registers\[13\]\[16\],153.7µm
_1472_,153.64µm
clknet_leaf_24_clk,153.6µm
net32,153.39µm
_2785_,152.84µm
clknet_leaf_13_clk,152.32µm
clknet_leaf_35_clk,152.24µm
clknet_leaf_44_clk,152.18µm
net26,151.935µm
clknet_leaf_27_clk,151.9µm
clknet_leaf_9_clk,151.76µm
_2299_,151.64µm
clknet_leaf_10_clk,151.41µm
clknet_leaf_3_clk,151.2µm
clknet_leaf_6_clk,150.835µm
_2256_,150.34µm
clknet_leaf_16_clk,149.81µm
net362,149.71µm
net264,149.7µm
clknet_leaf_33_clk,149.6µm
net368,149.42µm
clknet_leaf_21_clk,149.31µm
clknet_leaf_12_clk,148.82µm
_2606_,148.17µm
net270,148.1µm
clknet_leaf_37_clk,147.96µm
net526,147.58µm
clknet_leaf_18_clk,147.5µm
_2337_,147.16µm
net45,147.02µm
net570,146.72µm
clknet_leaf_32_clk,146.69µm
net528,146.37µm
net407,146.35µm
clknet_leaf_28_clk,146.12µm
net554,145.83µm
net416,145.675µm
net48,144.48µm
net434,144.41µm
net461,143.74µm
net285,143.595µm
net548,143.295µm
_1507_,143.24µm
net428,142.8µm
_1627_,142.72µm
